Order_ID,Date,Region,Category,Sub_Category,Segment,Quantity,Sales,Discount,Revenue,Profit
ORD-2024048,2024-04-14,Europe,Technology,Monitors,Enterprise,11,8300.33,0.15,7055.28,887.35
ORD-2024049,2024-01-04,Middle East,Office Supplies,Appliances,Enterprise,15,933.86,0.05,887.17,139.8
ORD-2024050,2023-05-22,Europe,Office Supplies,Appliances,Home Office,8,348.24,0.1,313.42,110.38
ORD-2024051,2023-02-11,Europe,Technology,Smartphones,Enterprise,12,4741.98,0.1,4267.78,494.92
ORD-2024052,2023-08-01,Latin America,Technology,Smartphones,Enterprise,15,14719.59,0.2,11775.67,1098.12
ORD-2024053,2023-01-04,Latin America,Furniture,Bookcases,Enterprise,9,2784.38,0.05,2645.16,286.61
ORD-2024054,2023-05-20,North America,Furniture,Furnishings,Enterprise,6,2491.32,0.15,2117.62,357.32
ORD-2024055,2023-11-15,Latin America,Office Supplies,Paper,Consumer,2,126.96,0.0,126.96,23.82
ORD-2024056,2023-06-17,Asia Pacific,Technology,Monitors,Home Office,13,14113.55,0.15,11996.52,2226.44
ORD-2024057,2023-02-11,Middle East,Furniture,Chairs,Consumer,6,652.92,0.0,652.92,206.39
ORD-2024058,2024-05-01,North America,Technology,Smartphones,Corporate,4,1479.64,0.05,1405.66,338.64
ORD-2024059,2023-05-12,Middle East,Furniture,Tables,Consumer,13,6307.38,0.0,6307.38,2280.19
ORD-2024060,2023-10-22,Latin America,Office Supplies,Appliances,Corporate,2,81.0,0.1,72.9,24.86
ORD-2024061,2023-11-04,Asia Pacific,Technology,Laptops,Enterprise,11,6622.47,0.15,5629.1,873.22
ORD-2024062,2023-02-24,Latin America,Furniture,Bookcases,Corporate,7,2093.94,0.2,1675.15,553.02
ORD-2024063,2023-10-03,Latin America,Furniture,Furnishings,Home Office,6,2573.44,0.15,2187.42,401.18
ORD-2024064,2023-08-26,Latin America,Office Supplies,Art,Home Office,1,66.19,0.1,59.57,19.51
ORD-2024065,2023-06-24,Middle East,Furniture,Bookcases,Consumer,9,1043.62,0.15,887.08,234.5
ORD-2024066,2023-05-04,Latin America,Office Supplies,Appliances,Enterprise,13,747.01,0.05,709.66,58.81
ORD-2024067,2023-10-25,Middle East,Furniture,Furnishings,Home Office,7,2178.14,0.15,1851.42,352.58
ORD-2024068,2023-05-09,Europe,Technology,Laptops,Home Office,2,1911.47,0.05,1815.9,320.07
ORD-2024069,2023-09-05,North America,Furniture,Bookcases,Corporate,5,776.83,0.2,621.46,95.03
ORD-2024070,2023-01-24,Europe,Technology,Accessories,Enterprise,2,2158.17,0.15,1834.44,160.88
ORD-2024071,2024-05-09,Latin America,Technology,Accessories,Consumer,14,4369.07,0.0,4369.07,696.64
ORD-2024072,2024-02-20,North America,Office Supplies,Storage,Corporate,2,155.19,0.2,124.15,22.18
ORD-2024073,2023-09-25,Latin America,Furniture,Furnishings,Home Office,14,3641.52,0.0,3641.52,1014.18
ORD-2024074,2024-01-14,Europe,Technology,Smartphones,Home Office,11,3598.41,0.05,3418.49,412.6
ORD-2024075,2023-08-19,Latin America,Office Supplies,Art,Home Office,1,88.81,0.15,75.49,10.46
ORD-2024076,2023-04-30,Latin America,Furniture,Tables,Consumer,9,1283.18,0.05,1219.02,168.92
ORD-2024077,2023-03-26,Latin America,Furniture,Bookcases,Consumer,8,2991.11,0.2,2392.89,623.1
ORD-2024078,2023-08-13,Latin America,Technology,Laptops,Home Office,10,4878.5,0.2,3902.8,1064.11
ORD-2024079,2023-01-11,Middle East,Office Supplies,Storage,Consumer,13,1084.31,0.1,975.88,163.15
ORD-2024080,2023-10-27,North America,Furniture,Furnishings,Enterprise,6,1289.07,0.05,1224.62,105.53
ORD-2024081,2023-12-22,Latin America,Furniture,Bookcases,Consumer,8,1488.06,0.15,1264.85,436.22
ORD-2024082,2024-02-27,Latin America,Technology,Monitors,Consumer,4,2970.07,0.15,2524.56,801.79
ORD-2024083,2023-04-15,Asia Pacific,Furniture,Tables,Enterprise,15,1964.98,0.2,1571.98,238.79
ORD-2024084,2023-12-30,Middle East,Technology,Accessories,Consumer,9,5738.32,0.0,5738.32,1377.06
ORD-2024085,2023-03-02,Latin America,Office Supplies,Binders,Home Office,9,590.96,0.15,502.32,92.11
ORD-2024086,2023-10-10,Europe,Technology,Monitors,Corporate,14,4428.47,0.1,3985.62,1446.4
ORD-2024087,2023-09-17,Asia Pacific,Furniture,Chairs,Home Office,14,6993.55,0.05,6643.87,1568.63
ORD-2024088,2023-09-05,Middle East,Furniture,Bookcases,Enterprise,8,3561.86,0.05,3383.77,406.23
ORD-2024089,2023-04-30,Asia Pacific,Furniture,Chairs,Enterprise,12,2881.4,0.05,2737.33,299.32
ORD-2024090,2023-01-19,North America,Technology,Accessories,Enterprise,2,1499.31,0.15,1274.41,206.37
ORD-2024091,2024-05-11,Latin America,Technology,Laptops,Home Office,6,5052.58,0.1,4547.32,1553.4
ORD-2024092,2024-03-15,Asia Pacific,Office Supplies,Appliances,Enterprise,14,555.11,0.1,499.6,89.75
ORD-2024093,2024-01-18,North America,Technology,Monitors,Consumer,8,3264.37,0.1,2937.93,960.7
ORD-2024094,2023-05-31,Latin America,Furniture,Bookcases,Corporate,4,1270.76,0.05,1207.22,199.82
ORD-2024095,2023-11-09,Latin America,Furniture,Tables,Corporate,4,746.68,0.0,746.68,264.11
ORD-2024096,2023-08-27,North America,Furniture,Tables,Enterprise,6,1233.87,0.1,1110.48,115.44
ORD-2024097,2023-06-04,Latin America,Technology,Monitors,Consumer,4,2449.18,0.1,2204.26,277.08
ORD-2024098,2024-02-29,Asia Pacific,Office Supplies,Appliances,Consumer,10,1172.28,0.2,937.82,294.24
ORD-2024099,2024-03-02,Middle East,Furniture,Tables,Home Office,4,1363.1,0.05,1294.94,366.91
ORD-2024100,2024-04-07,Asia Pacific,Office Supplies,Paper,Enterprise,1,24.46,0.1,22.01,1.89
ORD-2024101,2023-08-01,Europe,Technology,Smartphones,Home Office,9,6540.35,0.15,5559.3,2065.39
ORD-2024102,2023-06-01,North America,Office Supplies,Storage,Enterprise,2,210.63,0.15,179.04,31.41
ORD-2024103,2024-02-16,North America,Office Supplies,Storage,Enterprise,1,53.7,0.1,48.33,5.89
ORD-2024104,2024-02-26,North America,Office Supplies,Storage,Corporate,8,591.58,0.2,473.26,84.03
ORD-2024105,2023-02-02,Asia Pacific,Office Supplies,Appliances,Enterprise,2,93.92,0.15,79.83,4.49
ORD-2024106,2023-05-01,Latin America,Office Supplies,Binders,Enterprise,6,685.96,0.15,583.07,71.27
ORD-2024107,2024-01-08,North America,Technology,Monitors,Enterprise,10,6377.1,0.1,5739.39,404.15
ORD-2024108,2023-08-16,North America,Technology,Accessories,Home Office,9,9959.5,0.1,8963.55,1517.98
ORD-2024109,2023-03-04,Europe,Furniture,Chairs,Consumer,1,182.3,0.2,145.84,25.28
ORD-2024110,2024-02-29,Middle East,Office Supplies,Binders,Corporate,14,426.9,0.2,341.52,41.23
ORD-2024111,2024-03-15,Middle East,Technology,Smartphones,Home Office,13,5405.04,0.0,5405.04,1152.05
ORD-2024112,2024-02-08,North America,Technology,Accessories,Corporate,5,1498.9,0.0,1498.9,365.47
ORD-2024113,2024-02-03,Latin America,Furniture,Chairs,Corporate,10,4089.55,0.2,3271.64,649.17
ORD-2024114,2023-11-26,Latin America,Technology,Laptops,Enterprise,7,6312.55,0.0,6312.55,1047.24
ORD-2024115,2023-06-14,North America,Office Supplies,Binders,Corporate,5,448.88,0.15,381.55,144.46
ORD-2024116,2023-09-29,Middle East,Furniture,Furnishings,Enterprise,2,256.11,0.2,204.89,28.87
ORD-2024117,2023-04-21,Europe,Furniture,Furnishings,Enterprise,6,1484.8,0.1,1336.32,133.29
ORD-2024118,2023-12-07,Europe,Furniture,Bookcases,Enterprise,2,231.71,0.1,208.54,32.04
ORD-2024119,2023-10-12,North America,Technology,Accessories,Enterprise,6,6479.56,0.0,6479.56,1137.65
ORD-2024120,2023-11-04,North America,Furniture,Bookcases,Corporate,3,522.55,0.2,418.04,90.12
ORD-2024121,2024-01-26,Latin America,Furniture,Tables,Consumer,10,4283.74,0.05,4069.55,777.49
ORD-2024122,2024-01-26,Asia Pacific,Furniture,Bookcases,Consumer,3,953.56,0.05,905.88,283.23
ORD-2024123,2024-05-12,Middle East,Technology,Laptops,Corporate,7,4541.89,0.1,4087.7,1316.15
ORD-2024124,2023-10-18,North America,Office Supplies,Paper,Corporate,3,70.7,0.15,60.09,17.55
ORD-2024125,2023-09-06,Latin America,Office Supplies,Appliances,Home Office,4,240.56,0.1,216.5,64.16
ORD-2024126,2023-10-31,North America,Furniture,Bookcases,Corporate,7,721.06,0.05,685.01,218.87
ORD-2024127,2024-01-27,Asia Pacific,Furniture,Bookcases,Consumer,1,260.88,0.2,208.7,63.23
ORD-2024128,2023-09-14,North America,Office Supplies,Storage,Enterprise,14,885.84,0.0,885.84,142.35
ORD-2024129,2023-10-22,Latin America,Furniture,Furnishings,Home Office,2,971.61,0.2,777.29,186.26
ORD-2024130,2023-12-20,Latin America,Furniture,Chairs,Consumer,4,992.76,0.1,893.48,280.47
ORD-2024131,2023-04-24,North America,Furniture,Tables,Consumer,9,4144.39,0.05,3937.17,714.32
ORD-2024132,2023-03-16,Europe,Furniture,Tables,Corporate,13,1451.43,0.15,1233.72,296.87
ORD-2024133,2023-10-16,Middle East,Office Supplies,Appliances,Home Office,14,856.45,0.15,727.98,171.06
ORD-2024134,2023-06-05,Asia Pacific,Furniture,Chairs,Consumer,5,478.98,0.1,431.08,60.33
ORD-2024135,2024-03-18,Latin America,Technology,Monitors,Consumer,8,8908.78,0.2,7127.02,1736.59
ORD-2024136,2023-03-19,North America,Technology,Monitors,Home Office,12,3961.35,0.15,3367.15,1271.63
ORD-2024137,2023-09-26,Europe,Office Supplies,Art,Home Office,6,577.91,0.2,462.33,61.77
ORD-2024138,2023-11-20,North America,Office Supplies,Storage,Home Office,2,82.92,0.2,66.34,23.02
ORD-2024139,2023-06-20,Asia Pacific,Technology,Smartphones,Home Office,11,10049.12,0.0,10049.12,2014.76
ORD-2024140,2023-07-12,Europe,Office Supplies,Storage,Consumer,11,186.06,0.1,167.45,27.94
ORD-2024141,2023-04-20,Europe,Furniture,Furnishings,Corporate,3,612.7,0.2,490.16,157.06
ORD-2024142,2024-03-03,North America,Office Supplies,Art,Home Office,15,818.33,0.05,777.41,129.84
ORD-2024143,2023-12-21,Latin America,Office Supplies,Binders,Consumer,7,817.65,0.2,654.12,126.95
ORD-2024144,2024-01-19,Middle East,Furniture,Tables,Corporate,5,2047.18,0.05,1944.82,419.38
ORD-2024145,2024-04-29,Latin America,Office Supplies,Appliances,Home Office,13,1513.96,0.05,1438.26,472.22
ORD-2024146,2023-03-12,Latin America,Furniture,Chairs,Home Office,9,3409.1,0.0,3409.1,661.76
ORD-2024147,2024-01-26,Latin America,Technology,Accessories,Corporate,14,9318.39,0.15,7920.63,2772.25
ORD-2024148,2024-04-21,North America,Technology,Monitors,Enterprise,9,5447.37,0.05,5175.0,227.42
ORD-2024149,2024-04-21,Europe,Technology,Accessories,Corporate,1,522.54,0.05,496.41,157.51
ORD-2024150,2023-08-29,North America,Furniture,Chairs,Consumer,5,713.99,0.2,571.19,146.92
